,p0_is_free,p1_is_free,p2_is_free,stack_size
272,False,False,False,165
273,False,False,False,166
274,False,False,False,167
275,False,True,True,168
276,False,False,False,167
277,False,False,False,168
278,True,False,True,169
279,True,False,False,169
280,True,False,False,170
281,True,False,False,171
282,False,False,False,171
283,False,False,False,172
284,False,False,False,173
285,False,True,False,174
286,False,False,False,174
287,False,False,False,175
288,False,False,True,176
289,False,False,False,176
290,False,False,False,177
291,True,False,False,178
292,True,False,False,179
293,True,False,False,180
294,True,False,False,181
295,False,True,False,181
296,False,True,False,182
297,False,True,True,183
298,False,False,True,183
299,False,False,True,184
300,False,False,True,185
301,False,True,True,186
302,False,True,False,186
303,True,False,False,186
304,True,False,True,187
305,True,False,True,188
306,True,False,False,188
307,True,False,False,189
308,False,False,False,189
309,True,True,False,190
310,False,False,False,189
311,False,False,True,190
312,False,False,True,191
313,False,False,True,192
314,False,False,True,193
315,False,False,False,193
316,False,False,True,194
317,False,True,True,195
318,False,True,True,196
319,True,True,False,196
320,False,True,False,196
321,False,True,True,197
322,False,True,True,198
323,False,True,False,198
324,False,True,True,199
325,False,True,True,200
326,False,True,True,201
327,False,False,True,201
328,False,False,True,202
329,True,False,False,202
330,True,False,False,203
331,True,False,False,204
332,False,False,True,204
333,False,False,True,205
334,False,False,True,206
335,False,True,True,207
336,False,False,True,207
337,False,False,True,208
338,False,False,False,208
339,True,False,False,209
340,True,False,False,210
341,True,False,True,211
342,False,False,False,210
343,False,False,False,211
344,False,True,False,212
345,False,False,False,212
346,False,False,True,213
347,False,False,False,213
348,False,False,False,214
349,False,False,False,215
350,False,False,False,216
351,True,False,False,217
352,False,False,False,217
353,False,True,False,218
354,False,True,True,219
355,False,True,False,219
356,False,True,False,220
357,True,True,True,221
358,False,False,True,220
359,True,True,True,221
360,False,False,True,220
361,False,False,True,221
362,False,False,False,221
363,False,False,True,222
364,False,True,True,223
365,False,False,False,222
366,False,False,False,223
367,False,False,False,224
368,False,False,False,225
369,True,False,False,226
370,True,False,False,227
371,True,False,False,228
372,True,False,False,229
373,False,False,True,229
374,False,True,True,230
375,True,False,False,229
376,True,False,False,230
377,False,False,False,230
378,False,False,False,231
379,False,False,False,232
380,True,False,False,233
381,True,False,False,234
382,False,False,False,234
383,False,True,True,235
384,True,True,False,235
385,True,True,False,236
386,True,False,False,236
387,False,False,False,236
388,False,False,False,237
389,False,False,True,238
390,True,False,True,239
391,False,False,False,238
392,False,False,False,239
393,True,False,False,240
394,True,False,False,241
395,True,True,True,242
396,True,True,False,242
397,False,True,True,242
398,False,False,False,241
399,False,False,False,242
400,False,False,False,243
401,False,False,False,244
402,False,False,False,245
403,False,True,False,246
404,False,True,False,247
405,False,False,False,247
406,True,False,False,248
407,True,False,True,249
408,True,False,True,250
409,True,True,True,251
410,True,False,True,251
411,True,True,True,252
412,True,False,True,252
413,False,False,True,252
414,True,False,True,253
415,False,False,False,252
416,False,False,False,253
417,True,False,False,254
418,False,False,False,254
419,False,False,False,255
420,False,True,False,256
421,False,True,True,257
422,False,False,True,257
423,False,True,False,257
424,False,True,True,258
425,False,False,True,258
426,False,False,False,258
427,True,False,False,259
428,True,False,False,260
429,True,False,False,261
430,True,False,False,262
431,True,False,False,263
432,True,False,True,264
433,True,False,False,264
434,True,True,False,265
435,True,True,False,266
436,True,False,False,266
437,True,False,False,267
438,False,False,False,267
439,False,False,False,268
440,False,False,True,269
441,False,False,True,270
442,False,True,True,271
443,False,False,True,271
444,False,True,False,271
445,False,False,False,271
446,False,False,False,272
447,True,False,False,273
448,False,False,False,273
449,False,False,False,274
450,False,False,False,275
451,False,False,False,276
452,False,False,False,277
453,True,True,True,278
454,True,False,True,278
455,False,False,True,278
456,False,False,False,278
457,False,False,False,279
458,False,False,True,280
459,False,False,True,281
460,False,False,True,282
461,False,True,True,283
462,False,True,True,284
463,True,True,True,285
464,False,True,True,285
465,False,True,True,286
466,False,False,True,286
467,True,False,False,286
468,True,False,False,287
469,True,False,False,288
470,True,False,False,289
471,False,True,False,289
472,True,False,False,289
473,True,False,False,290
474,True,False,False,291
475,False,False,False,291
476,False,True,True,292
477,False,True,False,292
478,False,True,False,293
479,False,True,False,294
480,False,True,False,295
481,True,True,True,296
482,False,True,False,295
483,False,False,True,295
484,False,False,True,296
485,False,True,True,297
486,True,True,False,297
487,True,True,False,298
488,True,True,False,299
489,True,False,False,299
490,False,False,False,299
491,False,False,False,300
492,True,False,False,301
493,True,False,True,302
494,True,False,False,302
495,False,False,False,302
496,True,False,False,303
497,True,False,False,304
498,True,True,False,305
499,True,False,False,305
500,True,False,False,306
501,True,False,False,307
502,False,False,True,307
503,False,False,True,308
504,False,False,True,309
505,False,False,True,310
506,False,False,True,311
507,False,False,False,311
508,True,True,False,312
509,True,False,False,312
510,True,False,False,313
511,True,False,False,314
512,True,False,True,315
513,True,False,True,316
514,True,False,True,317
515,True,False,False,317
516,True,True,False,318
517,True,False,True,318
518,False,False,False,317
519,False,False,False,318
520,False,False,False,319
521,False,False,False,320
522,False,False,False,321
523,False,False,False,322
524,False,True,False,323
525,True,True,False,324
526,True,False,False,324
527,True,False,True,325
528,True,False,False,325
529,True,False,False,326
530,False,True,False,326
531,False,True,False,327
532,False,False,True,327
533,False,False,True,328
534,True,True,True,329
535,False,False,True,328
536,False,False,True,329
537,False,False,False,329
538,False,False,False,330
539,False,False,True,331
540,False,True,True,332
541,True,False,True,332
542,True,False,True,333
543,True,True,True,334
544,True,False,True,334
545,False,False,True,334
546,False,False,False,334
547,False,False,False,335
548,True,True,False,336
549,True,True,False,337
550,True,True,False,338
551,True,False,False,338
552,True,False,False,339
553,True,False,False,340
554,True,False,True,341
555,False,False,False,340
556,True,False,False,341
557,True,False,True,342
558,True,False,True,343
559,True,False,False,343
560,True,True,False,344
561,True,True,False,345
562,True,True,False,346
563,True,True,False,347
564,False,True,False,347
565,False,True,False,348
566,True,True,False,349
567,True,False,False,349
568,True,False,True,350
569,True,False,True,351
570,True,True,True,352
571,False,False,True,351
572,False,False,True,352
573,True,True,True,353
574,False,True,False,352
575,False,False,False,352
576,False,False,False,353
577,False,False,False,354
578,False,False,True,355
579,True,False,True,356
580,False,False,True,356
581,False,False,False,356
582,True,True,False,357
583,False,True,False,357
584,False,True,False,358
585,False,True,False,359
586,False,True,False,360
587,False,True,False,361
588,False,True,False,362
589,False,True,True,363
590,False,True,True,364
591,True,True,False,364
592,True,True,False,365
593,True,True,False,366
594,True,True,False,367
595,True,True,False,368
596,False,True,False,368
597,False,True,False,369
598,False,True,False,370
599,False,True,True,371
600,False,True,False,371
601,False,True,False,372
602,True,True,False,373
603,True,True,False,374
604,True,False,False,374
605,False,False,False,374
606,False,True,False,375
607,False,True,False,376
608,False,False,False,376
609,False,False,True,377
610,False,False,False,377
611,False,False,True,378
612,False,True,False,378
613,False,True,False,379
614,True,True,False,380
615,False,True,False,380
616,False,False,True,380
617,False,False,False,380
618,False,False,False,381
619,False,False,False,382
620,True,False,True,383
621,True,False,True,384
622,False,True,True,384
623,False,False,False,383
624,False,False,False,384
625,False,False,False,385
626,False,False,False,386
627,True,False,False,387
628,False,False,False,387
629,False,False,False,388
630,False,False,True,389
631,False,True,True,390
632,False,True,False,390
633,False,True,False,391
634,False,False,True,391
635,False,False,False,391
636,False,False,False,392
637,True,False,True,393
638,False,True,False,392
639,False,True,False,393
640,False,True,False,394
641,False,True,False,395
642,True,True,False,396
643,True,True,False,397
644,False,True,False,397
645,False,True,False,398
646,False,False,False,398
647,False,False,True,399
648,False,False,True,400
649,False,False,True,401
650,True,False,True,402
651,False,False,True,402
652,False,False,True,403
653,False,False,True,404
654,False,True,True,405
655,True,False,True,405
656,False,False,True,405
657,False,False,False,405
658,False,False,False,406
659,False,False,False,407
660,False,False,False,408
661,True,False,False,409
662,True,True,False,410
663,False,False,False,409
664,True,False,False,410
665,True,False,True,411
666,False,True,True,411
667,False,False,True,411
668,False,False,False,411
669,False,False,True,412
670,False,False,False,412
671,True,False,False,413
672,True,False,False,414
673,True,False,False,415
674,True,True,False,416
675,True,True,False,417
676,True,True,True,418
677,True,True,False,418
678,True,False,False,418
679,True,False,False,419
680,False,False,False,419
681,False,False,False,420
682,False,False,False,421
683,False,False,False,422
684,False,False,False,423
685,True,False,False,424
686,False,True,True,424
687,False,True,False,424
688,False,True,True,425
689,False,True,True,426
690,False,True,False,426
691,False,True,False,427
692,False,True,False,428
693,False,False,False,428
694,False,False,False,429
695,True,False,False,430
696,False,False,False,430
697,False,False,True,431
698,False,False,True,432
699,False,False,True,433
700,False,True,True,434
701,False,False,True,434
702,False,False,False,434
703,True,False,True,435
704,True,True,False,435
705,True,False,False,435
706,True,False,False,436
707,True,True,False,437
708,True,False,False,437
709,True,False,False,438
710,True,False,False,439
711,True,False,False,440
712,True,False,True,441
713,False,False,True,441
714,False,False,False,441
715,False,True,True,442
716,False,True,True,443
717,False,False,True,443
718,False,False,True,444
719,False,False,True,445
720,False,False,True,446
721,False,False,False,446
722,True,False,False,447
723,False,True,False,447
724,False,True,False,448
725,False,True,False,449
726,False,False,False,449
727,False,False,False,450
728,False,False,False,451
729,True,False,False,452
730,True,False,True,453
731,True,False,True,454
732,True,False,False,454
733,False,True,False,454
734,False,True,False,455
735,False,False,False,455
736,False,False,False,456
737,False,False,True,457
738,False,False,False,457
739,True,True,False,458
740,False,True,False,458
741,False,True,False,459
742,False,False,False,459
743,False,False,False,460
744,False,False,False,461
745,False,False,False,462
746,False,True,True,463
747,True,True,True,464
748,False,True,False,463
749,False,True,False,464
750,False,True,False,465
751,False,True,False,466
752,False,False,False,466
753,False,False,False,467
754,False,False,False,468
755,False,False,True,469
756,False,False,True,470
757,True,False,True,471
758,True,False,False,471
759,True,False,False,472
760,True,False,False,473
761,False,True,False,473
762,False,False,False,473
763,False,False,False,474
764,False,False,False,475
765,False,False,False,476
766,False,True,True,477
767,False,False,False,476
768,False,True,False,477
769,False,True,True,478
770,True,True,False,478
771,True,False,False,478
772,False,False,False,478
773,False,False,False,479
774,False,False,False,480
775,False,False,False,481
776,False,True,False,482
777,True,False,False,482
778,True,False,False,483
779,False,False,True,483
780,False,True,True,484
781,False,False,True,484
782,False,False,True,485
783,False,False,True,486
784,False,False,True,487
785,True,False,True,488
786,True,True,False,488
787,False,False,False,487
788,False,False,False,488
789,True,False,True,489
790,False,True,True,489
791,False,False,False,488
792,False,False,False,489
793,False,False,False,490
794,False,False,False,491
795,False,False,False,492
796,False,False,False,493
797,False,False,True,494
798,False,True,False,494
799,True,True,False,495
800,True,True,False,496
801,True,True,True,497
802,True,True,False,497
803,True,True,True,498
804,True,False,False,497
805,True,False,False,498
806,True,False,False,499
807,True,False,False,500
808,False,True,False,500
809,True,False,True,500
810,True,False,True,501
811,True,False,True,502
812,True,False,False,502
813,True,False,False,503
814,True,False,False,504
815,True,False,True,505
816,False,True,True,505
817,False,True,True,506
818,False,False,True,506
819,False,False,True,507
820,False,False,False,507
821,False,False,False,508
822,False,False,False,509
823,False,False,False,510
824,False,False,False,511
825,True,True,False,512
826,False,False,True,511
827,False,False,False,511
828,False,False,False,512
829,False,False,False,513
830,False,False,False,514
831,False,True,False,515
832,True,True,False,516
833,True,True,False,517
834,False,True,False,517
835,False,True,True,518
836,False,False,False,517
837,False,False,False,518
838,False,False,False,519
839,False,False,False,520
840,False,False,False,521
841,False,False,True,522
842,False,True,True,523
843,True,False,True,523
844,True,False,False,523
845,False,False,False,523
846,False,False,False,524
847,False,False,True,525
848,True,True,True,526
849,False,False,True,525
850,False,False,True,526
851,False,False,True,527
852,False,False,False,527
853,True,False,False,528
854,True,True,True,529
855,False,True,False,528
856,False,True,False,529
857,False,False,True,529
858,False,False,True,530
859,True,False,False,530
860,True,False,False,531
861,True,True,False,532
862,True,True,False,533
863,True,False,False,533
864,True,False,True,534
865,True,False,False,534
866,False,False,False,534
867,False,False,False,535
868,False,False,False,536
869,True,False,False,537
870,True,False,False,538
871,False,False,False,538
872,False,True,False,539
873,False,False,True,539
874,False,False,True,540
875,False,False,True,541
876,True,False,True,542
877,True,False,True,543
878,False,False,True,543
879,False,False,True,544
880,False,True,False,544
881,False,True,False,545
882,True,False,False,545
883,False,False,False,545
884,False,False,False,546
885,False,False,True,547
886,False,False,True,548
887,False,False,True,549
888,False,False,True,550
889,False,False,False,550
890,False,False,False,551
891,False,True,False,552
892,True,True,False,553
893,False,True,False,553
894,False,False,False,553
895,False,False,False,554
896,False,False,False,555
897,False,False,False,556
898,True,False,True,557
899,False,False,False,556
900,False,False,False,557
901,False,False,False,558
902,True,False,False,559
903,True,True,True,560
904,True,False,True,560
905,False,False,True,560
906,False,False,True,561
907,False,False,False,561
908,False,False,False,562
909,False,False,False,563
910,False,False,False,564
911,False,False,False,565
912,False,True,False,566
913,False,True,False,567
914,True,True,True,568
915,False,True,True,568
916,True,False,True,568
917,False,False,True,568
918,False,False,True,569
919,False,False,True,570
920,False,False,True,571
921,False,False,False,571
922,False,False,False,572
923,False,False,False,573
924,False,False,False,574
925,False,True,False,575
926,True,False,False,575
927,False,True,False,575
928,False,True,False,576
929,False,True,False,577
930,False,True,True,578
931,True,True,False,578
932,False,True,False,578
933,False,False,False,578
934,False,False,False,579
935,True,False,False,580
936,True,False,False,581
937,True,False,False,582
938,False,False,True,582
939,False,False,False,582
940,False,True,False,583
941,False,False,True,583
942,False,False,True,584
943,True,False,True,585
944,False,False,True,585
945,False,False,True,586
946,False,False,True,587
947,True,True,True,588
948,True,False,True,588
949,False,False,True,588
950,False,False,True,589
951,False,False,True,590
952,False,False,False,590
953,False,False,False,591
954,False,False,False,592
955,False,False,False,593
956,True,True,True,594
957,True,True,False,594
958,True,False,False,594
959,False,False,False,594
960,False,True,False,595
961,False,False,False,595
962,False,False,False,596
963,False,False,False,597
964,False,False,False,598
965,False,False,False,599
966,True,False,True,600
967,True,False,True,601
968,False,True,True,601
969,False,True,True,602
970,True,True,True,603
971,False,False,True,602
972,False,False,False,602
973,False,False,False,603
974,False,False,False,604
975,False,False,False,605
976,False,False,False,606
977,False,False,False,607
978,True,False,False,608
979,True,False,False,609
980,False,True,True,609
981,False,False,True,609
982,False,False,True,610
983,False,False,False,610
984,True,False,False,611
985,True,False,True,612
986,False,False,False,611
987,False,False,False,612
988,False,True,False,613
989,False,True,False,614
990,False,True,False,615
991,False,True,True,616
992,False,False,True,616
993,False,False,True,617
994,False,True,False,617
995,True,True,False,618
996,True,False,False,618
997,False,False,False,618
998,False,False,False,619
999,True,False,False,620
1000,False,False,False,620
1001,False,False,True,621
1002,False,True,True,622
1003,False,False,False,621
1004,False,False,True,622
1005,False,False,True,623
1006,False,False,False,623
1007,False,False,False,624
1008,False,True,False,625
1009,True,False,False,625
1010,False,False,False,625
1011,False,False,True,626
1012,False,False,True,627
1013,False,False,True,628
1014,False,False,True,629
1015,False,False,True,630
1016,False,True,False,630
1017,False,False,False,630
1018,False,False,False,631
1019,True,False,False,632
1020,False,False,False,632
1021,False,False,False,633
1022,False,False,False,634
1023,False,False,False,635
1024,False,True,False,636
1025,False,True,True,637
1026,True,True,True,638
1027,False,True,True,638
1028,False,False,True,638
1029,False,False,True,639
1030,False,True,False,639
1031,False,True,False,640
1032,False,True,False,641
1033,False,False,True,641
1034,False,False,True,642
1035,True,False,True,643
1036,False,False,False,642
1037,False,False,False,643
1038,False,False,False,644
1039,False,False,True,645
1040,False,True,True,646
1041,False,False,True,646
1042,False,False,True,647
1043,False,True,False,647
1044,True,True,False,648
1045,True,True,False,649
1046,True,True,True,650
1047,False,True,False,649
1048,False,True,False,650
1049,False,True,False,651
1050,False,True,False,652
1051,True,True,False,653
1052,False,False,False,652
1053,False,False,True,653
1054,False,False,True,654
1055,True,False,True,655
1056,False,False,False,654
1057,False,True,False,655
1058,False,True,False,656
1059,False,True,False,657
1060,False,True,False,658
1061,False,False,False,658
1062,False,False,False,659
1063,True,False,False,660
1064,False,False,True,660
1065,False,False,True,661
1066,False,False,False,661
1067,False,False,False,662
1068,False,True,False,663
1069,False,False,False,663
1070,True,False,False,664
1071,False,False,True,664
1072,True,False,True,665
1073,False,False,False,664
1074,False,False,False,665
1075,False,False,False,666
1076,True,False,False,667
1077,True,False,False,668
1078,True,True,False,669
1079,True,False,False,669
1080,True,False,False,670
1081,True,False,False,671
1082,True,False,True,672
1083,True,False,False,672
1084,False,False,False,672
1085,False,False,False,673
1086,False,True,False,674
1087,False,True,False,675
1088,False,True,False,676
1089,False,True,True,677
1090,True,True,True,678
1091,False,True,False,677
1092,False,False,True,677
1093,False,True,True,678
1094,False,True,True,679
1095,False,True,True,680
1096,True,False,True,680
1097,False,False,False,679
1098,False,False,False,680
1099,False,False,False,681
1100,False,False,False,682
1101,False,False,False,683
1102,False,False,True,684
1103,False,False,True,685
1104,False,False,True,686
1105,True,True,False,686
1106,True,False,False,686
1107,True,False,False,687
1108,True,False,False,688
1109,True,False,True,689
1110,False,False,True,689
1111,False,False,True,690
1112,False,False,True,691
1113,False,True,False,691
1114,True,True,False,692
1115,True,False,False,692
1116,False,False,False,692
1117,False,True,False,693
1118,True,True,False,694
1119,True,True,False,695
1120,True,False,False,695
1121,True,False,False,696
1122,False,True,True,696
1123,False,False,True,696
1124,False,False,True,697
1125,False,False,False,697
1126,True,False,False,698
1127,False,False,False,698
1128,False,False,False,699
1129,False,True,False,700
1130,False,True,False,701
1131,False,True,False,702
1132,True,False,False,702
1133,True,True,True,703
1134,True,False,True,703
1135,False,False,True,703
1136,False,False,False,703
1137,True,False,False,704
1138,True,True,False,705
1139,True,False,False,705
1140,True,False,False,706
1141,True,False,False,707
1142,True,False,True,708
1143,True,False,True,709
1144,True,False,False,709
1145,False,False,False,709
1146,False,False,True,710
1147,False,True,False,710
1148,False,True,False,711
1149,False,True,False,712
1150,False,True,True,713
1151,False,False,True,713
1152,True,False,False,713
1153,False,False,False,713
1154,True,False,True,714
1155,False,True,False,713
1156,False,True,False,714
1157,False,True,False,715
1158,False,True,False,716
1159,False,True,False,717
1160,True,False,True,717
1161,False,False,False,716
1162,False,True,False,717
1163,False,True,True,718
1164,False,True,True,719
1165,False,True,True,720
1166,False,False,True,720
1167,False,True,True,721
1168,True,False,False,720
1169,True,False,False,721
1170,False,False,False,721
1171,False,False,False,722
1172,False,False,False,723
1173,False,False,False,724
1174,True,False,True,725
1175,True,False,False,725
1176,True,False,False,726
1177,True,True,False,727
1178,True,False,False,727
1179,True,False,True,728
1180,True,True,True,729
1181,False,False,True,728
1182,False,False,True,729
1183,False,False,True,730
1184,True,False,True,731
1185,False,False,True,731
1186,False,True,True,732
1187,False,False,True,732
1188,False,False,True,733
1189,False,False,False,733
1190,False,False,False,734
1191,True,False,False,735
1192,True,False,False,736
1193,False,False,False,736
1194,False,False,True,737
1195,False,True,False,737
1196,True,True,False,738
1197,False,True,False,738
1198,False,True,False,739
1199,False,True,False,740
1200,False,True,False,741
1201,False,True,True,742
1202,False,True,False,742
1203,False,True,False,743
1204,True,True,False,744
1205,True,True,False,745
1206,True,True,False,746
1207,True,True,False,747
1208,True,False,True,747
1209,True,False,True,748
1210,True,False,False,748
1211,True,False,False,749
1212,False,False,False,749
1213,False,False,False,750
1214,False,True,False,751
1215,False,True,False,752
1216,False,False,False,752
1217,False,False,False,753
1218,False,False,False,754
1219,True,False,True,755
1220,True,False,False,755
1221,True,True,False,756
1222,True,True,False,757
1223,True,False,False,757
1224,True,False,False,758
1225,False,False,True,758
1226,False,False,True,759
1227,False,False,True,760
1228,False,False,True,761
1229,False,False,True,762
1230,True,False,True,763
1231,False,True,False,762
1232,False,True,False,763
1233,False,True,False,764
1234,True,True,False,765
1235,True,False,False,765
1236,True,True,False,766
1237,True,False,False,766
1238,True,False,True,767
1239,True,False,False,767
1240,True,True,False,768
1241,True,True,False,769
1242,True,False,False,769
1243,False,False,False,769
1244,False,False,False,770
1245,False,True,False,771
1246,False,True,True,772
1247,False,True,True,773
1248,False,True,True,774
1249,False,True,False,774
1250,False,True,False,775
1251,True,False,False,775
1252,True,False,False,776
1253,True,False,False,777
1254,True,False,True,778
1255,True,False,False,778
1256,False,False,True,778
1257,False,False,True,779
1258,False,False,True,780
1259,False,False,False,780
1260,False,True,False,781
1261,False,True,False,782
1262,False,False,False,782
1263,True,True,False,783
1264,True,True,False,784
1265,True,True,False,785
1266,True,False,True,785
1267,False,False,False,784
1268,False,False,False,785
1269,False,False,False,786
1270,False,False,False,787
1271,True,False,False,788
1272,True,False,True,789
1273,True,False,False,789
1274,True,False,False,790
1275,True,True,False,791
1276,True,True,False,792
1277,True,False,False,792
1278,False,False,False,792
1279,False,False,False,793
1280,False,False,False,794
1281,False,False,True,795
1282,False,False,True,796
1283,False,False,True,797
1284,False,False,False,797
1285,False,False,False,798
1286,False,True,False,799
1287,True,False,False,799
1288,True,False,False,800
1289,True,True,True,801
1290,True,False,False,800
1291,True,False,False,801
1292,True,False,True,802
1293,True,False,True,803
1294,True,False,False,803
1295,True,False,True,804
1296,False,False,False,803
1297,True,False,False,804
1298,True,True,False,805
1299,True,False,False,805
1300,True,False,False,806
1301,True,False,False,807
1302,True,False,True,808
1303,True,True,True,809
1304,False,False,True,808
1305,False,False,False,808
1306,False,False,False,809
1307,False,False,False,810
1308,False,False,True,811
1309,False,False,True,812
1310,False,True,True,813
1311,True,False,True,813
1312,True,False,False,813
1313,True,False,False,814
1314,True,False,False,815
1315,True,True,False,816
1316,False,True,False,816
1317,True,True,False,817
1318,True,False,False,817
1319,False,False,False,817
1320,False,False,False,818
1321,False,False,True,819
1322,False,False,True,820
1323,False,False,True,821
1324,False,False,False,821
1325,True,False,False,822
1326,True,True,False,823
1327,True,True,False,824
1328,False,True,False,824
1329,False,True,False,825
1330,False,True,False,826
1331,False,True,True,827
1332,False,False,False,826
1333,False,True,False,827
1334,False,False,False,827
1335,True,False,False,828
1336,True,True,False,829
1337,False,False,False,828
1338,False,False,True,829
1339,False,False,True,830
1340,False,False,True,831
1341,False,False,True,832
1342,False,True,True,833
1343,False,False,False,832
1344,False,True,False,833
1345,False,True,False,834
1346,True,True,False,835
1347,True,False,False,835
1348,True,False,False,836
1349,False,False,False,836
1350,True,False,False,837
1351,False,False,True,837
1352,False,False,False,837
1353,True,False,False,838
1354,False,False,False,838
1355,False,True,False,839
1356,False,True,False,840
1357,False,True,False,841
